title,responsibleOrganisation,publicationDate,category,descriptionFileName,specificationDocuments,documentation,charter,reports,presentations,dateOfRegistration,dateOfAcknowledgementByWorkingGroup,dateOfAcknowledgementBySteeringCommittee,datePublicReviewStart,datePublicReviewEnd,endOfPublicationDate,usage,status
Applicatieprofiel Kindfiche,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium Kindfiche,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium OSLO Statistiek,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel OSLO Statistiek,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium OSLO Datakwaliteit,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Leerinschrijfcredential,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Applicatieprofiel OSLO Datakwaliteit,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel OSLO Waterkwaliteit,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium OSLO Waterkwaliteit,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Digitale Watermeter,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Nutsvoorzieningen Meters,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Vrachtwagenparkeren,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Vrachtwagenparkeren,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
